Symbol,Name,CEO,YR,SALARY
LEG,"Leggett & Platt, Inc.",Karl Glassman,2018,10567930
MCO,Moody's Corp.,Raymond McDaniel,2018,10556511
FANG,"Diamondback Energy, Inc.",Travis Stice,2018,10549163
MOS,The Mosaic Co.,James O'Rourke,2018,10526054
UAL,"United Continental Holdings, Inc.",Oscar Munoz,2018,10493832
VSAT,"ViaSat, Inc.",Mark Dankberg,2018,10489325
CAG,"Conagra Brands, Inc.",Sean Connolly,2018,10473271
MIK,"Michaels Cos., Inc.",Carl Rubin,2019,10472847
GWW,"W.W. Grainger, Inc.",Donald Macpherson,2018,10455844
PEG,"Public Service Enterprise Group, Inc.",Ralph Izzo,2018,10419291
BCO,The Brink's Co.,Douglas Pertz,2018,10360397
DAN,"Dana, Inc.",James Kamsickas,2018,10349940
PODD,Insulet Corp.,Patrick Sullivan,2018,10347121
CBRE,"CBRE Group, Inc.",Robert Sulentic,2018,10334821
ETR,Entergy Corp.,Leo Denault,2018,10326456
STZ,"Constellation Brands, Inc.",Robert Sands,2019,10312778
ABMD,"ABIOMED, Inc.",Michael Minogue,2018,10304727
EW,Edwards Lifesciences Corp.,Michael Mussallem,2018,10278949
VAR,"Varian Medical Systems, Inc.",Dow Wilson,2018,10276439
CNX,CNX Resources Corp.,Nicholas DeIuliis,2018,10272508
PKG,Packaging Corporation of America,Mark Kowlzan,2018,10265569
GBT,"Global Blood Therapeutics, Inc.",Ted Love,2018,10260240
MKSI,"MKS Instruments, Inc.",Gerald Colella,2018,10260205
KEYS,"Keysight Technologies, Inc.",Ronald Nersesian,2018,10240253
AEO,"American Eagle Outfitters, Inc.",Jay Schottenstein,2019,10211180
AFG,"American Financial Group, Inc.",Carl Lindner III,2018,10209385
GEF,"Greif, Inc.",Peter Watson,2018,10187093
IPHI,Inphi Corp.,Ford Tamer,2018,10172566
MDSO,"Medidata Solutions, Inc.",Tarek Sherif,2018,10168400
ANSS,"ANSYS, Inc.",Ajei Gopal,2018,10164184
MGLN,"Magellan Health, Inc.",Barry Smith,2018,10162716
IEX,IDEX Corp.,Andrew Silvernail,2018,10125650
STLD,"Steel Dynamics, Inc.",Mark Millett,2018,10116690
APH,Amphenol Corp.,R. Norwitt,2018,10110360
CNA,CNA Financial Corp.,Dino Robusto,2018,10109176
GRPN,"Groupon, Inc.",Rich Williams,2018,10093972
EME,"EMCOR Group, Inc.",Anthony Guzzi,2018,10053185
CMA,"Comerica, Inc.",Ralph Babb,2018,10039842
FMC,FMC Corp.,PIERRE BRONDEAU,2018,9994552
K,Kellogg Co.,Steven Cahillane,2018,9989992
JNPR,"Juniper Networks, Inc.",Rami Rahim,2018,9984326
ADS,Alliance Data Systems Corp.,Edward Heffernan,2018,9978474
TOL,"Toll Brothers, Inc.",Douglas C. Yearley Jr.,2018,9965247
DGX,"Quest Diagnostics, Inc.",Stephen Rusckowski,2018,9953287
MD,"MEDNAX, Inc.",Roger Medel,2018,9938017
LEA,Lear Corp.,Raymond Scott,2018,9936305
PCAR,"PACCAR, Inc.",Ronald Armstrong,2018,9929242
MSG,The Madison Square Garden Co.,David O’Connor,2018,9904891
ZNGA,"Zynga, Inc.",Frank Gibeau,2018,9903704
SPR,"Spirit AeroSystems Holdings, Inc.",Thomas Gentile III,2018,9899693
UNM,Unum Group,Richard McKenney,2018,9896861
POST,"Post Holdings, Inc.",Robert Vitale,2018,9868509
WEC,"WEC Energy Group, Inc.",Gale Klappa,2018,9862993
INVH,"Invitation Homes, Inc.",Frederick Tuomi,2018,9839607
LDOS,"Leidos Holdings, Inc.",Roger Krone,2018,9834974
WDAY,"Workday, Inc.",Aneel Bhusri,2019,9827005
SAGE,"SAGE Therapeutics, Inc.",Jeffrey Jonas,2018,9824582
CCK,"Crown Holdings, Inc.",Timothy Donahue,2018,9816741
PHM,"PulteGroup, Inc.",Ryan Marshall,2018,9793261
CTAS,Cintas Corp.,Scott Farmer,2018,9778369
EIX,Edison International,Pedro Pizarro,2018,9777523
DPLO,"Diplomat Pharmacy, Inc.",Brian Griffin,2018,9771884
ED,"Consolidated Edison, Inc.",John McAvoy,2018,9765858
PTEN,"Patterson-UTI Energy, Inc.","William Hendricks,Jr",2018,9764924
AES,The AES Corp.,Andres Gluski,2018,9759811
FIZZ,National Beverage Corp.,Nick Caporella,2018,9757340
BPMC,Blueprint Medicines Corp.,Jeffrey Albers,2018,9740799
BBX,BBX Capital Corp.,Alan Levan,2018,9731737
XEC,Cimarex Energy Co.,Thomas Jorden,2018,9727480
ESPR,"Esperion Therapeutics, Inc.",Timothy Mayleben,2018,9724839
UPWK,"Upwork, Inc.",Stephane Kasriel,2018,9715513
ZBH,"Zimmer Biomet Holdings, Inc.",Bryan Hanson,2018,9710434
NTLA,"Intellia Therapeutics, Inc.",John Leonard,2018,9708330
LM,"Legg Mason, Inc.",Joseph Sullivan,2018,9674250
NCI,"Navigant Consulting, Inc.",Julie Howard,2018,9670408
TECH,Bio-Techne Corp.,Charles Kummeth,2018,9664874
ODFL,"Old Dominion Freight Line, Inc.",David Congdon,2018,9658122
CERN,Cerner Corp.,Brent Shafer,2018,9633001
TEX,Terex Corp.,John Garrison,2018,9629700
KBR,"KBR, Inc.",Stuart B. Bradie,2018,9595455
ALLY,"Ally Financial, Inc.",Jeffrey Brown,2018,9591566
CPLG,"CorePoint Lodging, Inc.",Keith Cline,2018,9577783
DXCM,"DexCom, Inc.",Kevin Sayer,2018,9554123
JLL,"Jones Lang LaSalle, Inc.",Christian Ulbrich,2018,9548082
RDN,Radian Group Inc.,Richard Thornberry,2018,9533691
COHR,"Coherent, Inc.",John Ambroseo,2018,9531892
SNDR,"Schneider National, Inc.",Christopher Lofgren,2018,9497458
ZBRA,Zebra Technologies Corp.,Anders Gustafsson,2018,9496092
TSN,"Tyson Foods, Inc.",Thomas Hayes,2018,9486887
AMC,"AMC Entertainment Holdings, Inc.",Adam Aron,2018,9470202
AXL,"American Axle & Manufacturing Holdings, Inc.",David Dauch,2018,9469299
NKE,"NIKE, Inc.",Mark Parker,2018,9467460
BEN,"Franklin Resources, Inc.",Gregory Johnson,2018,9450152
STML,"Stemline Therapeutics, Inc.",Ivan Bergstein,2018,9441653
BURL,"Burlington Stores, Inc.",Thomas Kingsbury,2019,9428212
CFG,"Citizens Financial Group, Inc. (Rhode Island)",Bruce Saun,2018,9405933
DLTR,"Dollar Tree, Inc.",Gary Philbin,2019,9398842
IOVA,"Iovance Biotherapeutics, Inc.",Maria Fardis,2018,9394600
GRUB,"GrubHub, Inc.",Matthew Maloney,2018,9388543
BK,The Bank of New York Mellon Corp.,Charles Scharf,2018,9383885
APY,Apergy Corp.,Sivasankaran Somasundaram,2018,9363752
SWKS,"Skyworks Solutions, Inc.",Liam Griffin,2018,9342113
TSCO,Tractor Supply Co.,Gregory Sandfort,2018,9329017
SRE,Sempra Energy,Jeffrey Martin,2018,9324491
INCY,Incyte Corp.,Herve Hoppenot,2018,9314189
GLUU,"Glu Mobile, Inc.",Nick Earl,2018,9313085
PII,Polaris Industries Inc.,Scott Wine,2018,9300911
QRTEA,"Qurate Retail, Inc.",Gregory Maffei,2018,9292240
PCG,PG&E Corp.,Geisha Williams,2018,9289842
BLKB,"Blackbaud, Inc.",Michael Gianoni,2018,9289690
AIMT,"Aimmune Therapeutics, Inc.",Jayson Dallas,2018,9246507
WMS,"Advanced Drainage Systems, Inc.",Joseph Chlapaty,2018,9233377
ARCH,"Arch Coal, Inc.",John Eaves,2018,9227715
FGEN,"FibroGen, Inc.",Thomas Neff,2018,9224044
ROK,"Rockwell Automation, Inc.",Blake Moret,2018,9188851
PSA,Public Storage,Ronald Havner,2018,9182000
WU,The Western Union Co.,Hikmet Ersek,2018,9175300
VRSN,"VeriSign, Inc.",D. Bidzos,2018,9162786
GTT,"GTT Communications, Inc.",Richard Calder Jr.,2018,9160743
HOG,"Harley-Davidson, Inc.",Matthew Levatich,2018,9149692
ASH,"Ashland Global Holdings, Inc.",William Wulfsohn,2018,9144029
AR,Antero Resources Corp.,Paul Rady,2018,9143022
RHI,"Robert Half International, Inc.",Harold Messmer Jr.,2018,9132451
CIEN,Ciena Corp.,Gary Smith,2018,9129584
WM,"Waste Management, Inc.",James Fish,2018,9125281
RLGY,Realogy Holdings Corp.,Ryan Schneider,2018,9123122
CHGG,"Chegg, Inc.",Daniel Rosensweig,2018,9117507
DPZ,"Domino's Pizza, Inc.",Richard Allison,2018,9102416
SBAC,SBA Communications Corp.,Jeffrey Stoops,2018,9101986
CROX,"Crocs, Inc.",Andrew Rees,2018,9100814
VG,Vonage Holdings Corp.,Alan Masarek,2018,9098381
COUP,"Coupa Software, Inc.",Robert Bernshteyn,2019,9096500
QLYS,"Qualys, Inc.",Philippe Courtot,2018,9096098
SCHN,"Schnitzer Steel Industries, Inc.",Tamara Lundgren,2018,9088535
DKS,"Dick's Sporting Goods, Inc.",Edward Stack,2019,9083405
RMD,"ResMed, Inc.",Michael Farrell,2018,9082204
FNF,"Fidelity National Financial, Inc.",Raymond Quirk,2018,9078683
KEY,KeyCorp,Beth Mooney,2018,9064470
CDW,CDW Corp.,Thomas Richards,2018,9061299
XPER,Xperi Corp.,Jon Kirchner,2018,9046650
WK,"Workiva, Inc.",Matthew Rizai,2018,9038000
CCI,Crown Castle International Corp.,Jay Brown,2018,9025526
ADSK,"Autodesk, Inc.",Andrew Anagnost,2019,9021758
WLK,Westlake Chemical Corp.,Albert Chao,2018,9014456
EQT,EQT Corp.,Steven Schlotterbeck,2018,9003154
WFT,Weatherford International Plc,Mark McCollum,2018,8996432
EXPR,"Express, Inc.",David Kornberg,2019,8977813
MYOK,"MyoKardia, Inc.",Tassos Gianakakos,2018,8974780
CIT,"CIT Group, Inc.",Ellen Alemany,2018,8961198
KMX,"CarMax, Inc.",William Nash,2019,8951547
SEE,Sealed Air Corp.,Edward Doheny II,2018,8934227
SANM,Sanmina Corp.,Jure Sola,2018,8931886
ODP,"Office Depot, Inc.",Gerry Smith,2018,8922720
NRG,"NRG Energy, Inc.",Mauricio Gutierrez,2018,8914948
KSS,Kohl's Corp.,Kevin Mansell,2019,8904852
SNA,Snap-on Incorporated,Nicholas Pinchuk,2018,8896358
SIG,Signet Jewelers Ltd.,Virginia Drosos,2019,8896303
COMM,"CommScope Holding Co., Inc.",Marvin Edwards Jr.,2018,8893345
CNP,"CenterPoint Energy, Inc.",Scott Prochazka,2018,8887981
PENN,"Penn National Gaming, Inc.",Timothy Wilmott,2018,8878353
WWW,"Wolverine World Wide, Inc.",Blake Krueger,2018,8869982
UPL,Ultra Petroleum Corp.,Michael Watford,2018,8869151
AAP,"Advance Auto Parts, Inc.",Thomas Greco,2018,8856135
LPI,"Laredo Petroleum, Inc.",Randy Foutch,2018,8840734
MDCO,The Medicines Co.,Clive Meanwell,2018,8836955
HBI,Hanesbrands Inc.,"Gerald Evans, Jr.",2018,8832708
VRNT,"Verint Systems, Inc.",Dan Bodner,2019,8831265
BF.A,Brown-Forman Corp.,Paul Varga,2018,8826735
IMGN,"ImmunoGen, Inc.",Mark Enyedy,2018,8823242
STI,"SunTrust Banks, Inc.",William Rogers,2018,8815914
WH,"Wyndham Hotels & Resorts, Inc.",Geoffrey Ballotti,2018,8815739
PWR,"Quanta Services, Inc.",Earl Austin Jr.,2018,8808204
MC,Moelis & Co.,Kenneth Moelis,2018,8800528
WTW,"Weight Watchers International, Inc.",Mindy Grossman,2018,8798135
DATA,"Tableau Software, Inc.",Adam Selipsky,2018,8787603
CHE,Chemed Corp.,Kevin McNamara,2018,8778637
CMC,Commercial Metals Co.,Barbara Smith,2018,8777496
SYY,Sysco Corp.,Thomas Bene,2018,8774577
VRTU,Virtusa Corp.,Kris Canekeratne,2018,8772997
VRNS,"Varonis Systems, Inc.",Yakov Faitelson,2018,8770972
VIRT,"Virtu Financial, Inc.",Douglas Cifu,2018,8769607
TDC,Teradata Corp.,Victor Lund,2018,8767078
AME,"AMETEK, Inc.",David Zapico,2018,8762155
SD,"SandRidge Energy, Inc.",James Bennett,2018,8750520
DEI,"Douglas Emmett, Inc.",Jordan Kaplan,2018,8738314
OC,Owens Corning,Michael Thaman,2018,8737460
HRTG,"Heritage Insurance Holdings, Inc.",Bruce Lucas,2018,8735043
TKR,The Timken Co.,Richard Kyle,2018,8720272
SWI,SolarWinds Corp.,Kevin Thompson,2018,8711887
RRC,Range Resources Corp.,Jeffrey Ventura,2018,8711188
AVY,Avery Dennison Corp.,Mitchell Butier,2018,8709697
FLS,Flowserve Corp.,R. Rowe,2018,8702469
STRO,"Sutro Biopharma, Inc.",William Newell,2018,8684598
JELD,"JELD-WEN Holding, Inc.",Gary Michel,2018,8681520
TSE,Trinseo SA,Christopher Pappas,2018,8669233
SBNY,"Signature Bank (New York, New York)",Joseph DePaolo,2018,8667124
KFY,Korn Ferry,Gary Burnison,2018,8643293
NBIX,"Neurocrine Biosciences, Inc.",Kevin Gorman,2018,8632979
HCP,"HCP, Inc.",Thomas Herzog,2018,8619819
FBHS,"Fortune Brands Home & Security, Inc.",Christopher Klein,2018,8611331
USFD,US Foods Holding Corp.,Pietro Satriano,2018,8607146
USM,United States Cellular Corp.,Kenneth Meyers,2018,8600136
BBT,BB&T Corp.,Kelly King,2018,8584675
AMTD,TD Ameritrade Holding Corp.,Timothy D. Hockey,2018,8577509
CHRW,"C.H. Robinson Worldwide, Inc.",John Wiehoff,2018,8558856
HBAN,"Huntington Bancshares, Inc.",Stephen Steinour,2018,8556915
RIG,Transocean Ltd.,Jeremy Thigpen,2018,8550795
MLM,"Martin Marietta Materials, Inc.",C. Nye,2018,8533458
CTLT,"Catalent, Inc.",John Chiminski,2018,8526868
PLT,"Plantronics, Inc.",Joseph Burton,2019,8524244
IFF,"International Flavors & Fragrances, Inc.",Andreas Fibig,2018,8521940
JAG,"Jagged Peak Energy, Inc.",James Kleckner,2018,8503802
HAS,"Hasbro, Inc.",Brian Goldner,2018,8499623
ANF,Abercrombie & Fitch Co.,Fran Horowitz-Bonadies,2019,8481742
WYND,"Wyndham Destinations, Inc.",Michael Brown,2018,8464246
CMPR,Cimpress NV,Robert Keane,2018,8463681
AEE,Ameren Corp.,Warner Baxter,2018,8454460
CBOE,"Cboe Global Markets, Inc.",Edward Tilly,2018,8453137
VGR,Vector Group Ltd.,Howard Lorber,2018,8441627
CAR,"Avis Budget Group, Inc.",Larry Shon,2018,8427166
CAH,"Cardinal Health, Inc.",Michael Kaufmann,2018,8423580
SWN,Southwestern Energy Co.,William Way,2018,8420470
TRCO,Tribune Media Co.,Peter Kern,2018,8411000
FAF,First American Financial Corp.,Dennis Gilmore,2018,8402957
PSTG,"Pure Storage, Inc.",Charles Giancarlo,2019,8383230
ATI,"Allegheny Technologies, Inc.",Richard Harshman,2018,8379253
ARGO,Argo Group International Holdings Ltd.,Mark Watson III,2018,8375437
TAP,Molson Coors Brewing Co.,Mark Hunter,2018,8341482
ROKU,"Roku, Inc.",Anthony Wood,2018,8336661
XYL,"Xylem, Inc.",Patrick Decker,2018,8327670
CAL,"Caleres, Inc.",Diane Sullivan,2019,8323893
STRL,"Sterling Construction Co., Inc.",Joseph Cutillo,2018,8308461
DBI,"Designer Brands, Inc.",Roger Rawlins,2019,8273914
WAT,Waters Corp.,Christopher O'Connell,2018,8258221
BC,Brunswick Corp.,Mark Schwabero,2018,8243580
SWCH,"Switch, Inc. (Nevada)",Rob Roy,2018,8242618
SAIC,Science Applications International Corp.,Anthony Moraco,2019,8234372
VYGR,"Voyager Therapeutics, Inc.",Gaetan Turenne,2018,8209845
SEM,Select Medical Holdings Corp.,David Chernow,2018,8201031
INST,"Instructure, Inc.",Daniel Goldsmith,2018,8200545
AGIO,"Agios Pharmaceuticals, Inc.",David Schenkein,2018,8199324
JW.A,"John Wiley & Sons, Inc.",Brian Napack,2018,8194929
DLB,"Dolby Laboratories, Inc.",Kevin Yeaman,2018,8157746
CHTR,"Charter Communications, Inc.",Thomas Rutledge,2018,8157264
CLX,The Clorox Co.,Benno Dorer,2018,8133067
Y,Alleghany Corp.,Weston Hicks,2018,8129352
OMI,"Owens & Minor, Inc.",Paul Phipps,2018,8126896
TRN,"Trinity Industries, Inc.",Timothy Wallace,2018,8123175
CMS,CMS Energy Corp.,Patricia Poppe,2018,8091185
MXIM,"Maxim Integrated Products, Inc.",Tunc Doluca,2018,8085050
NFG,National Fuel Gas Co.,Ronald Tanski,2018,8084177
VER,"VEREIT, Inc.",Glenn Rufrano,2018,8080813
WBC,"WABCO Holdings, Inc.",Jacques Esculier,2018,8080720
CC,The Chemours Co.,Mark Vergnano,2018,8076729
ALLK,"Allakos, Inc.",Robert Alexander,2018,8072610
AJG,Arthur J. Gallagher & Co.,J. Gallagher,2018,8062954
PBI,"Pitney Bowes, Inc.",Marc Lautenbach,2018,8056939
RPT,RPT Realty,Brian Harper,2018,8047751
ATR,"AptarGroup, Inc.",Stephan Tanda,2018,8039185
WLFC,Willis Lease Finance Corp.,Charles Willis IV,2018,8031934
AQST,"Aquestive Therapeutics, Inc.",Keith Kendall,2018,8010587
HTZ,"Hertz Global Holdings, Inc.",Kathryn Marinello,2018,8005121
EDIT,"Editas Medicine, Inc.",Katrine Bosley,2018,7989383
ORA,"Ormat Technologies, Inc.",Isaac Angel,2018,7984551
HST,"Host Hotels & Resorts, Inc.",James Risoleo,2018,7981175
EXEL,"Exelixis, Inc.",Michael Morrissey,2018,7977535
GIS,"General Mills, Inc.",Jeffrey Harmening,2018,7973615
NTRS,Northern Trust Corp.,Michael O'Grady,2018,7971986
MTG,MGIC Investment Corp.,Patrick Sinks,2018,7971526
FLIR,"FLIR Systems, Inc.",James Cannon,2018,7959846
CMG,"Chipotle Mexican Grill, Inc.",Steve Ells,2018,7955042
UFS,Domtar Corp.,John Williams,2018,7952638
EVR,"Evercore, Inc.",Ralph Schlosstein,2018,7951012
AKRX,"Akorn, Inc.",Raj Rai,2018,7940986
TROX,Tronox Holdings Plc,Jeffry Quinn,2018,7920617
MTH,Meritage Homes Corp.,Steven Hilton,2018,7900183
NE,Noble Corp. Plc,Julie Robertson,2018,7894955
MCHP,"Microchip Technology, Inc.",Steve Sanghi,2018,7893460
ROLL,"RBC Bearings, Inc.",Michael Hartnett,2018,7888243
PRAH,"PRA Health Sciences, Inc.",Colin Shannon,2018,7870225
RAD,Rite Aid Corp.,John Standley,2019,7865829
VC,Visteon Corp.,Sachin Lawande,2018,7858920
BHVN,Biohaven Pharmaceutical Holding Co. Ltd.,Vlad Coric,2018,7854000
RNG,"RingCentral, Inc.",Vladimir Shmunis,2018,7852884
TEN,"Tenneco, Inc.",Brian Kesseler,2018,7849744
HAE,Haemonetics Corp.,Christopher Simon,2018,7845796
MTOR,"Meritor, Inc.",Jeffrey A. Craig,2018,7842647
TMK,Torchmark Corp.,Gary Coleman,2018,7831616
BYD,Boyd Gaming Corp.,Keith Smith,2018,7806598
AXS,AXIS Capital Holdings Ltd.,Albert A. Benchimol,2018,7804796
FCFS,"FirstCash, Inc.",Rick Wessel,2018,7804440
VMC,Vulcan Materials Co.,J. Hill,2018,7802414
MDRX,"Allscripts Healthcare Solutions, Inc.",Paul Black,2018,7801251
HP,"Helmerich & Payne, Inc.",John Lindsay,2018,7777164
FRAC,"Keane Group, Inc.",Robert Drummond,2018,7764703
CF,"CF Industries Holdings, Inc.",W. Will,2018,7758005
FLT,"FleetCor Technologies, Inc.",Ronald Clarke,2018,7757388
VRSK,"Verisk Analytics, Inc.",Scott Stephenson,2018,7743757
CRC,California Resources Corp.,Todd Stevens,2018,7734657
LUV,Southwest Airlines Co.,Gary Kelly,2018,7726455
ITT,"ITT, Inc.",Denise Ramos,2018,7711647
SGMS,Scientific Games Corp.,Kevin Sheehan,2018,7705980
CNO,"CNO Financial Group, Inc.",Gary Bhojwani,2018,7701334
CVBF,CVB Financial Corp.,Christopher Myers,2018,7694011
AXTA,Axalta Coating Systems Ltd.,Charles Shaver,2018,7691799
CCOI,"Cogent Communications Holdings, Inc.",David Schaeffer,2018,7690848
AL,Air Lease Corp.,John Plueger,2018,7672190
SIVB,SVB Financial Group,Greg Becker,2018,7648576
IART,Integra LifeSciences Holdings Corp.,Peter Arduini,2018,7647812
BIO,"Bio-Rad Laboratories, Inc.",Norman Schwartz,2018,7639414
GES,"Guess, Inc.",Amigo Herrero,2019,7639062
VAC,Marriott Vacations Worldwide Corp.,Stephen Weisz,2018,7628764
IONS,"Ionis Pharmaceuticals, Inc.",Stanley Crooke,2018,7625579
HUBB,"Hubbell, Inc.",David Nord,2018,7620663
KORS,Capri Holdings Ltd.,John Idol,2018,7607476
CHS,"Chico's FAS, Inc.",Shelley Broader,2019,7604998
EWBC,"East West Bancorp, Inc.",Dominic Ng,2018,7587684
ALLE,Allegion Plc,David Petratis,2018,7586780
SYNH,"Syneos Health, Inc.",Alistair Macdonald,2018,7573682
CDNS,"Cadence Design Systems, Inc.",Lip-Bu Tan,2018,7556368
ANET,"Arista Networks, Inc.",Jayshree Ullal,2018,7550074
LII,"Lennox International, Inc.",Todd Bluedorn,2018,7541297
AMG,"Affiliated Managers Group, Inc.",Nathaniel Dalton,2018,7538535
CCS,"Century Communities, Inc.",Dale Francescon,2018,7538355
CLDR,"Cloudera, Inc.",Thomas Reilly,2019,7526057
CW,Curtiss-Wright Corp.,David Adams,2018,7515424
UNVR,"Univar, Inc.",Stephen Newlin,2018,7504294
OI,"Owens-Illinois, Inc.",Andres Lopez,2018,7500959
CSL,"Carlisle Cos., Inc.",D. Koch,2018,7497435
ELF,"e.l.f. Beauty, Inc.",Tarang Amin,2018,7492021
RMTI,"Rockwell Medical, Inc.",Stuart Paul,2018,7483803
HOV,"Hovnanian Enterprises, Inc.",Ara Hovnanian,2018,7482639
GBX,"Greenbrier Cos., Inc.",William Furman,2018,7473644
HDS,"HD Supply Holdings, Inc.",Joseph DeAngelo,2019,7467171
FRT,Federal Realty Investment Trust,Donald Wood,2018,7464182
HAIN,"Hain Celestial Group, Inc.",Irwin Simon,2018,7463170
SBGI,"Sinclair Broadcast Group, Inc.",Christopher Ripley,2018,7455802
BAH,Booz Allen Hamilton Holding Corp.,Horacio Rozanski,2019,7448529
UGI,UGI Corp.,John Walsh,2018,7446659
BID,Sotheby's,Thomas Smith,2018,7446432
SNPS,"Synopsys, Inc.",Aart Geus,2018,7432836
WCC,"WESCO International, Inc.",John Engel,2018,7431924
FOLD,"Amicus Therapeutics, Inc.",John Crowley,2018,7419963
COST,Costco Wholesale Corp.,W. Jelinek,2018,7408513
PPC,Pilgrim's Pride Corp.,William Lovette,2018,7405096
RF,Regions Financial Corp.,John Turner Jr.,2018,7397623
DS,"Drive Shack, Inc.",Kenneth May,2018,7383389
TDY,"Teledyne Technologies, Inc.",Robert Mehrabian,2018,7381431
SIX,Six Flags Entertainment Corp.,James Reid-Anderson,2018,7360672
MTDR,Matador Resources Co.,Joseph Foran,2018,7359320
DLX,Deluxe Corp.,Barry McCarthy,2018,7352496
R,"Ryder System, Inc.",Robert Sanchez,2018,7351625
MLI,"Mueller Industries, Inc.",Gregory Christopher,2018,7350013
HHC,The Howard Hughes Corp.,David Weinreb,2018,7343109
ZAYO,"Zayo Group Holdings, Inc.",Daniel P. Caruso,2018,7335436
BTU,Peabody Energy Corp.,Glenn Kellow,2018,7333255
TDOC,"Teladoc Health, Inc.",Jason Gorevic,2018,7329322
OSIS,"OSI Systems, Inc.",Deepak Chopra,2018,7310240
KNSA,Kiniksa Pharmaceuticals Ltd.,Sanj Patel,2018,7308557
COTY,"Coty, Inc.",Camillo Pane,2018,7293988
RUSHA,"Rush Enterprises, Inc.",W.M. Rush,2018,7289017
MTZ,"MasTec, Inc.",Jose Mas,2018,7275847
CHD,"Church & Dwight Co., Inc.",Matthew Farrell,2018,7267713
GPK,Graphic Packaging Holding Co.,Michael Doss,2018,7264270
TISI,"Team, Inc.",Amerino Gatti,2018,7261146
CRI,"Carter's, Inc.",Michael Casey,2018,7260036
OAS,"Oasis Petroleum, Inc.",Thomas Nusz,2018,7258700
HRC,"Hill-Rom Holdings, Inc.",JOHN GREISCH,2018,7256043
WSC,Willscot Corp.,Bradley Soultz,2018,7246517
LOGM,"LogMeIn, Inc.",William Wagner,2018,7224220
BLMN,"Bloomin' Brands, Inc.",Elizabeth Smith,2018,7217956
SUPN,"Supernus Pharmaceuticals, Inc.",Jack Khattar,2018,7215836
CECO,Career Education Corp.,Todd Nelson,2018,7198735
ATKR,"Atkore International Group, Inc.",John Williamson,2018,7194625
NSP,"Insperity, Inc.",Paul Sarvadi,2018,7183924
SNX,SYNNEX Corp.,Dennis Polk,2018,7174297
TER,"Teradyne, Inc.",Mark Jagiela,2018,7172691
MRVL,Marvell Technology Group Ltd.,Matthew Murphy,2019,7166310
AVT,"Avnet, Inc.",William Amelio,2018,7164491
AAN,"Aaron's, Inc.",John Robinson,2018,7152038
HGV,"Hilton Grand Vacations, Inc.",Mark Wang,2018,7141693
FTR,Frontier Communications Corp.,Daniel McCarthy,2018,7135383
LPLA,"LPL Financial Holdings, Inc.",Dan Arnold,2018,7128351
CACI,"CACI International, Inc.",Kenneth Asbury,2018,7121764
WSO,"Watsco, Inc.",Albert Nahmad,2018,7117698
LIVN,LivaNova Plc,Damien McDonald,2018,7112628
VSH,"Vishay Intertechnology, Inc.",Gerald Paul,2018,7106112
OKE,"ONEOK, Inc.",Terry Spencer,2018,7099869
NTGR,"NETGEAR, Inc.",Patrick Lo,2018,7095858
SHOO,Steven Madden Ltd.,Edward Rosenfeld,2018,7090068
RBC,Regal Beloit Corp.,Mark Gliebe,2018,7084604
MTD,"Mettler-Toledo International, Inc.",Olivier Filliol,2018,7069870
RE,Everest Re Group Ltd.,Dominic Addesso,2018,7066735
CNDT,"Conduent, Inc.",Ashok Vemuri,2018,7066017
MYGN,"Myriad Genetics, Inc.",Mark Capone,2018,7054950
ESI,"Element Solutions, Inc.",Rakesh Sachdev,2018,7045239
UIS,Unisys Corp.,Peter Altabef,2018,7042532
FSLR,"First Solar, Inc.",Mark Widmar,2018,7032617
CYH,"Community Health Systems, Inc.",Wayne Smith,2018,7024719
LECO,"Lincoln Electric Holdings, Inc.",Christopher Mapes,2018,7018906
CY,Cypress Semiconductor Corp.,Hassane El-Khoury,2018,7017882
SYNA,"Synaptics, Inc.",Richard Bergman,2018,7012022
O,Realty Income Corp.,Sumit Roy,2018,7010019
MDP,Meredith Corp.,Thomas Harty,2018,7001400
NDSN,Nordson Corp.,Michael Hilton,2018,6997090
EXAS,EXACT Sciences Corp.,Kevin Conroy,2018,6991997
PDCE,"PDC Energy, Inc.",Barton Brookman,2018,6967823
CPB,Campbell Soup Co.,Denise Morrison,2018,6967086
GEO,"The GEO Group, Inc.",George Zoley,2018,6963460
OCN,Ocwen Financial Corp.,Glen Messina,2018,6960421
NCS,"Cornerstone Building Brands, Inc.",Donald Riley,2018,6957017
SM,SM Energy Co.,Javan Ottoson,2018,6953524
QRVO,"Qorvo, Inc.",Robert Bruggeworth,2018,6941777
NAV,Navistar International Corp.,Troy Clarke,2018,6923149
EXPD,"Expeditors International of Washington, Inc.",Jeffrey Musser,2018,6915480
AAWW,"Atlas Air Worldwide Holdings, Inc.",William Flynn,2018,6912659
KMPR,Kemper Corp.,Joseph Lacher,2018,6905879
NAVI,Navient Corp.,John Remondi,2018,6904105
GPI,"Group 1 Automotive, Inc.",Earl Hesterberg,2018,6903654
DBD,"Diebold Nixdorf, Inc.",Gerrard Schmid,2018,6899832
OLED,Universal Display Corp.,Steven Abramson,2018,6879849
DRE,Duke Realty Corp.,James Connor,2018,6873613
CONE,"CyrusOne, Inc.",Gary Wojtaszek,2018,6871858
ARNA,"Arena Pharmaceuticals, Inc.",Amit Munshi,2018,6863445
